Date Scan;Outil;Cible;ID Vulnérabilité (CVE);Titre / Package;Sévérité;Description
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-34743;liblzma5;MEDIUM;XZ Utils provide a general-purpose data-compression library plus command-line tools. Prior to versio...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-32739;libheif-plugin-dav1d;MEDIUM;libheif is a HEIF and AVIF file format decoder and encoder. In versions 1.21.2 and below, a crafted ...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-32739;libheif-plugin-libde265;MEDIUM;libheif is a HEIF and AVIF file format decoder and encoder. In versions 1.21.2 and below, a crafted ...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-32739;libheif1;MEDIUM;libheif is a HEIF and AVIF file format decoder and encoder. In versions 1.21.2 and below, a crafted ...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-41069;libheif-plugin-dav1d;MEDIUM;libheif is a HEIF and AVIF file format decoder and encoder. In versions 1.21.2 and prior, a malforme...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-41069;libheif-plugin-libde265;MEDIUM;libheif is a HEIF and AVIF file format decoder and encoder. In versions 1.21.2 and prior, a malforme...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-41069;libheif1;MEDIUM;libheif is a HEIF and AVIF file format decoder and encoder. In versions 1.21.2 and prior, a malforme...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-5545;curl;MEDIUM;libcurl might in some circumstances reuse the wrong connection when asked to do an authenticated HTT...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-5545;libcurl4t64;MEDIUM;libcurl might in some circumstances reuse the wrong connection when asked to do an authenticated HTT...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2025-14524;curl;MEDIUM;When an OAuth2 bearer token is used for an HTTP(S) transfer, and that transfer performs a cross-prot...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2025-14524;libcurl4t64;MEDIUM;When an OAuth2 bearer token is used for an HTTP(S) transfer, and that transfer performs a cross-prot...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-32814;libheif-plugin-dav1d;MEDIUM;libheif is a HEIF and AVIF file format decoder and encoder. In versions 1.21.2 and prior, when decod...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-32814;libheif-plugin-libde265;MEDIUM;libheif is a HEIF and AVIF file format decoder and encoder. In versions 1.21.2 and prior, when decod...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-32814;libheif1;MEDIUM;libheif is a HEIF and AVIF file format decoder and encoder. In versions 1.21.2 and prior, when decod...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-5704;tar;MEDIUM;A flaw was found in tar. A remote attacker could exploit this vulnerability by crafting a malicious ...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-6253;curl;MEDIUM;curl might erroneously pass on credentials for a first proxy to a second proxy.  This can happen whe...
